Frame,Time,mal_lat_left_X,mal_lat_left_Y,mal_lat_left_Z,calc_back_left_X,calc_back_left_Y,calc_back_left_Z,toe_left_X,toe_left_Y,toe_left_Z,mal_lat_right_X,mal_lat_right_Y,mal_lat_right_Z,calc_back_right_X,calc_back_right_Y,calc_back_right_Z,toe_right_X,toe_right_Y,toe_right_Z,C7_X,C7_Y,C7_Z
1,0,895.5966796875,370.928436279297,104.417663574219,830.609558105469,325.196014404297,72.8837966918945,1082.1064453125,343.391265869141,29.0063076019287,794.0849609375,174.787719726562,307.89599609375,734.001831054688,211.392318725586,338.502014160156,837.396789550781,217.085815429688,111.436058044434,1127.47204589844,336.223541259766,1329.67907714844
2,0.005,883.9814453125,371.454345703125,106.291160583496,818.278076171875,325.618072509766,75.95849609375,1069.58874511719,343.355743408203,28.9619579315186,803.079284667969,176.000869750977,302.999114990234,742.193359375,212.92887878418,331.610260009766,852.803100585938,217.552871704102,108.05883026123,1126.85729980469,336.376495361328,1331.75500488281
3,0.01,872.866394042969,371.983734130859,108.269104003906,807.290954589844,326.333374023438,78.6356048583984,1057.12170410156,343.493072509766,29.0219917297363,812.209899902344,177.516677856445,297.711761474609,750.482055664062,214.73503112793,324.220001220703,868.616821289062,218.014724731445,104.554870605469,1126.369140625,336.203094482422,1333.89233398438
4,0.015,861.843139648438,372.699951171875,110.655326843262,795.799865722656,327.114562988281,82.361457824707,1044.62963867188,343.501953125,28.9952774047852,821.262634277344,178.810073852539,292.519439697266,758.945068359375,216.777542114258,316.350067138672,885.068115234375,218.411499023438,101.214004516602,1125.54187011719,336.131439208984,1336.32287597656
5,0.02,851.032104492188,373.562103271484,113.279624938965,784.874084472656,328.001007080078,86.2098159790039,1032.13818359375,343.564666748047,28.9451313018799,830.328247070312,180.287063598633,286.846862792969,767.671447753906,219.032150268555,308.127227783203,902.096801757812,218.617477416992,97.8089447021484,1125.205078125,335.969390869141,1338.88537597656
6,0.025,840.5458984375,374.432861328125,116.253112792969,773.978271484375,328.872497558594,90.6217803955078,1019.72045898438,343.584259033203,28.9906215667725,839.789978027344,182.117309570312,280.831787109375,776.728515625,221.502380371094,299.438690185547,918.737976074219,218.953140258789,94.283073425293,1124.93908691406,335.695526123047,1341.74401855469
7,0.03,830.1318359375,375.577941894531,119.507537841797,763.692199707031,329.634582519531,95.3596496582031,1007.36474609375,343.708068847656,28.9909801483154,849.882507324219,184.441467285156,274.517242431641,786.213195800781,224.05908203125,290.542816162109,936.020202636719,219.169708251953,90.8783493041992,1124.65625,335.385986328125,1344.72814941406
8,0.035,820.344055175781,376.501190185547,122.89128112793,753.59716796875,330.614990234375,100.439659118652,994.967346191406,343.765289306641,29.0249576568604,860.019897460938,186.581985473633,267.919677734375,795.940124511719,226.87353515625,281.319763183594,953.396301269531,219.404006958008,87.7013702392578,1124.66320800781,334.875671386719,1347.79321289062
9,0.04,810.641540527344,377.619323730469,126.504600524902,743.919189453125,331.600372314453,105.814056396484,982.696838378906,343.989410400391,29.0996589660645,870.494567871094,188.950500488281,261.088165283203,806.108581542969,229.725982666016,271.918151855469,970.99365234375,219.613296508789,84.6775360107422,1124.45202636719,334.415008544922,1351.162109375
10,0.045,801.348388671875,378.844482421875,130.344207763672,734.558349609375,332.619049072266,111.483207702637,970.438842773438,344.169677734375,29.1391315460205,881.162780761719,191.238800048828,254.162475585938,816.7138671875,232.816909790039,262.215728759766,988.949523925781,219.911163330078,81.8470611572266,1124.35278320312,333.882354736328,1354.74011230469
