Frame,Time,mal_lat_left_X,mal_lat_left_Y,mal_lat_left_Z,calc_back_left_X,calc_back_left_Y,calc_back_left_Z,toe_left_X,toe_left_Y,toe_left_Z,mal_lat_right_X,mal_lat_right_Y,mal_lat_right_Z,calc_back_right_X,calc_back_right_Y,calc_back_right_Z,toe_right_X,toe_right_Y,toe_right_Z,C7_X,C7_Y,C7_Z
40,0.195,651.160217285156,464.345581054688,555.476379394531,627.060119628906,419.939971923828,618.841796875,543.648864746094,442.972106933594,378.835968017578,1050.08715820312,260.627014160156,89.9870071411133,990.684936523438,301.392028808594,60.3184623718262,1241.90002441406,304.586883544922,35.5431289672852,1031.68798828125,332.990447998047,1331.63391113281
41,0.2,663.028930664062,464.313018798828,554.900329589844,638.769958496094,420.249542236328,618.592529296875,555.820373535156,441.724609375,378.27587890625,1034.24987792969,261.633178710938,91.4468536376953,974.274353027344,302.082855224609,61.284595489502,1225.43566894531,305.297393798828,34.1609039306641,1032.51489257812,331.959716796875,1329.18872070312
42,0.205,674.575744628906,464.202453613281,553.564880371094,649.817077636719,420.617828369141,617.464660644531,568.615966796875,440.48486328125,376.419067382812,1018.55621337891,262.093383789062,92.0930557250977,958.149719238281,302.323455810547,61.814811706543,1209.1455078125,305.574493408203,33.1282844543457,1033.40246582031,331.022216796875,1327.15393066406
43,0.21,685.633422851562,464.150512695312,551.453674316406,660.167785644531,420.958435058594,615.415466308594,581.868591308594,439.07421875,373.2001953125,1002.95678710938,262.050201416016,92.3093948364258,941.8193359375,302.095031738281,62.1195831298828,1192.48132324219,305.393157958984,32.2810363769531,1033.99853515625,330.069183349609,1325.38415527344
44,0.215,696.340759277344,463.842315673828,548.485961914062,669.768920898438,421.131713867188,612.429138183594,595.619812011719,437.881042480469,368.881591796875,986.595825195312,262.101928710938,92.4535675048828,925.075439453125,301.869476318359,62.1789779663086,1175.48706054688,305.281188964844,31.7544021606445,1034.34118652344,329.098510742188,1323.86352539062
45,0.22,706.638000488281,463.707427978516,544.874450683594,678.762390136719,421.334655761719,608.512573242188,609.684204101562,436.535278320312,363.421112060547,969.762023925781,262.252380371094,92.469596862793,907.8984375,301.765472412109,62.168830871582,1158.12866210938,305.448364257812,31.3546676635742,1034.60913085938,328.227172851562,1322.62438964844
46,0.225,716.4443359375,463.422088623047,540.537475585938,686.96630859375,421.348571777344,603.717895507812,624.000122070312,435.349822998047,356.962829589844,952.829650878906,262.544403076172,92.3887557983398,890.587524414062,301.944000244141,62.2370338439941,1140.65539550781,305.703643798828,31.1726512908936,1034.72973632812,327.588775634766,1321.72424316406
47,0.23,725.7724609375,463.267730712891,535.482666015625,694.688171386719,421.611785888672,598.079345703125,638.314575195312,433.979309082031,349.626495361328,935.723022460938,262.910125732422,92.5660095214844,873.11572265625,302.226806640625,62.5169296264648,1123.00207519531,305.851348876953,30.8774871826172,1034.75915527344,326.948455810547,1321.11389160156
48,0.235,734.638244628906,463.0556640625,529.61181640625,701.640502929688,421.377258300781,591.443725585938,653.209350585938,432.654205322266,341.296783447266,918.416137695312,263.321624755859,93.0668182373047,855.52978515625,302.512359619141,62.9178085327148,1105.21057128906,306.022247314453,30.7058124542236,1034.78540039062,326.244567871094,1320.87316894531
49,0.24,743.159118652344,462.799957275391,522.98583984375,707.972961425781,421.433654785156,583.874755859375,668.356811523438,431.535552978516,332.174957275391,901.054992675781,263.630584716797,93.5367889404297,837.758850097656,302.903076171875,63.4688415527344,1087.27709960938,306.199676513672,30.5526485443115,1034.73669433594,325.462127685547,1321.06750488281
