Frame,Time,mal_lat_left_X,mal_lat_left_Y,mal_lat_left_Z,calc_back_left_X,calc_back_left_Y,calc_back_left_Z,toe_left_X,toe_left_Y,toe_left_Z,mal_lat_right_X,mal_lat_right_Y,mal_lat_right_Z,calc_back_right_X,calc_back_right_Y,calc_back_right_Z,toe_right_X,toe_right_Y,toe_right_Z,C7_X,C7_Y,C7_Z
1,0,507.421173095703,423.270904541016,258.817779541016,455.203094482422,376.689910888672,289.34912109375,542.536376953125,392.646942138672,51.4662475585938,1049.2412109375,218.00862121582,107.948524475098,1007.89776611328,264.537445068359,61.7650566101074,1251.61437988281,246.738464355469,114.762115478516,962.836181640625,302.91162109375,1400.5322265625
2,0.005,504.659759521484,423.516876220703,264.204620361328,452.602600097656,376.876617431641,295.371856689453,535.706970214844,394.836608886719,56.0544929504395,1052.00573730469,218.709533691406,105.34171295166,1011.07336425781,265.448364257812,58.8710784912109,1254.36352539062,246.971466064453,113.832305908203,962.704223632812,301.914581298828,1397.97106933594
3,0.01,502.387542724609,423.722503662109,269.609680175781,450.525238037109,377.026123046875,301.316314697266,529.278442382812,397.056884765625,60.7440986633301,1053.77014160156,219.357086181641,102.491546630859,1013.02606201172,266.272247314453,55.8834686279297,1256.10205078125,247.465789794922,112.185188293457,962.071655273438,301.074188232422,1395.17358398438
4,0.015,500.514923095703,424.132202148438,274.996307373047,449.140808105469,377.125305175781,307.301849365234,523.347106933594,399.123657226562,65.4232330322266,1054.26550292969,219.747451782227,99.6109924316406,1013.68621826172,266.868560791016,52.9344635009766,1256.61865234375,248.079772949219,109.800109863281,961.7919921875,299.914489746094,1392.07373046875
5,0.02,499.240783691406,424.379455566406,280.231048583984,448.268646240234,377.128234863281,313.246337890625,517.779968261719,401.453216552734,70.1132278442383,1053.85852050781,220.216995239258,96.4170455932617,1013.46862792969,267.138641357422,49.7335739135742,1256.06787109375,248.822525024414,106.723655700684,961.531433105469,298.913391113281,1388.76000976562
6,0.025,498.404479980469,424.639953613281,285.718078613281,448.100555419922,377.028900146484,319.091705322266,512.625793457031,403.964416503906,74.8301773071289,1052.61096191406,220.505020141602,93.2595291137695,1011.49407958984,267.609436035156,47.2632637023926,1254.59155273438,249.683700561523,102.761268615723,961.247741699219,297.853942871094,1385.22021484375
7,0.03,498.240417480469,424.845550537109,290.734649658203,448.630340576172,376.787933349609,324.806274414062,507.985717773438,406.540618896484,79.5435485839844,1050.42016601562,220.556915283203,90.6410217285156,1008.09820556641,267.905364990234,47.8221740722656,1252.50561523438,250.834884643555,96.7894592285156,960.714172363281,296.922393798828,1381.41271972656
8,0.035,498.666656494141,424.953002929688,295.692474365234,449.854217529297,376.399230957031,330.347747802734,503.591766357422,409.264953613281,84.095458984375,1047.35803222656,220.804214477539,88.8086090087891,1003.1025390625,268.281402587891,49.2071647644043,1249.42102050781,251.995407104492,87.3390502929688,960.384033203125,295.703125,1377.20825195312
9,0.04,499.599731445312,425.054351806641,300.447784423828,451.764831542969,375.931243896484,335.686309814453,500.016540527344,411.916107177734,88.7789688110352,1042.47814941406,221.598159790039,86.4836120605469,995.707092285156,269.322296142578,51.2506065368652,1244.09924316406,252.793151855469,74.6940383911133,959.746215820312,294.280090332031,1372.72875976562
10,0.045,501.198394775391,424.917236328125,304.81884765625,454.321899414062,375.376556396484,340.801239013672,496.935577392578,414.605773925781,93.3051071166992,1035.25756835938,222.594161987305,84.6686630249023,986.859802246094,269.793487548828,51.9157676696777,1235.89855957031,254.581436157227,60.9298896789551,959.438659667969,293.003509521484,1368.01110839844
