Frame,Time,mal_lat_left_X,mal_lat_left_Y,mal_lat_left_Z,calc_back_left_X,calc_back_left_Y,calc_back_left_Z,toe_left_X,toe_left_Y,toe_left_Z,mal_lat_right_X,mal_lat_right_Y,mal_lat_right_Z,calc_back_right_X,calc_back_right_Y,calc_back_right_Z,toe_right_X,toe_right_Y,toe_right_Z,C7_X,C7_Y,C7_Z
12,0.055,759.662658691406,479.034454345703,98.1880950927734,702.705505371094,443.407684326172,58.8738021850586,959.035522460938,443.423065185547,40.3901290893555,754.513305664062,211.798629760742,95.3230133056641,703.540344238281,252.809234619141,59.267993927002,955.697570800781,246.287521362305,42.0734901428223,806.384399414062,355.039764404297,1385.73327636719
13,0.06,759.668334960938,479.0234375,98.189567565918,702.726440429688,443.393737792969,58.8809547424316,959.048950195312,443.423034667969,40.3843650817871,754.5283203125,211.81494140625,95.3292694091797,703.534301757812,252.816009521484,59.2719612121582,955.704406738281,246.295608520508,42.0710754394531,806.383117675781,354.9853515625,1385.72741699219
14,0.065,759.658630371094,479.025177001953,98.2056350708008,702.712463378906,443.406677246094,58.8886795043945,959.029663085938,443.415588378906,40.3766746520996,754.528442382812,211.807067871094,95.3295135498047,703.545532226562,252.818115234375,59.2777976989746,955.703430175781,246.283813476562,42.0644111633301,806.371765136719,354.957214355469,1385.72546386719
15,0.07,759.668823242188,479.025238037109,98.2034378051758,702.728637695312,443.386444091797,58.8749313354492,959.044616699219,443.434387207031,40.3891677856445,754.527709960938,211.804794311523,95.3334808349609,703.537841796875,252.829147338867,59.2772254943848,955.710144042969,246.284759521484,42.066967010498,806.374389648438,354.936462402344,1385.73913574219
16,0.075,759.6650390625,479.019134521484,98.203239440918,702.717529296875,443.392211914062,58.8799438476562,959.0361328125,443.428588867188,40.3829345703125,754.533203125,211.822769165039,95.3395538330078,703.542907714844,252.815826416016,59.2813949584961,955.708984375,246.291748046875,42.071605682373,806.36572265625,354.899169921875,1385.73498535156
17,0.08,759.664123535156,479.005340576172,98.1986389160156,702.714660644531,443.389617919922,58.8935317993164,959.034240722656,443.433532714844,40.387638092041,754.527160644531,211.827362060547,95.3397445678711,703.543151855469,252.835800170898,59.2795257568359,955.705749511719,246.277297973633,42.0776786804199,806.335693359375,354.882781982422,1385.755859375
18,0.085,759.660217285156,478.997619628906,98.2134475708008,702.714233398438,443.381774902344,58.8826637268066,959.036987304688,443.430969238281,40.3892974853516,754.529174804688,211.845001220703,95.3446578979492,703.54638671875,252.834182739258,59.2845878601074,955.709289550781,246.288864135742,42.067928314209,806.355224609375,354.836883544922,1385.73645019531
19,0.09,759.676574707031,478.999755859375,98.2049713134766,702.725646972656,443.381652832031,58.8928298950195,959.037353515625,443.42822265625,40.3959159851074,754.530883789062,211.832015991211,95.3409729003906,703.54736328125,252.846908569336,59.2809524536133,955.706359863281,246.291275024414,42.0742111206055,806.358215332031,354.788848876953,1385.72229003906
20,0.095,759.655212402344,478.985412597656,98.2271118164062,702.724426269531,443.368682861328,58.888053894043,959.0361328125,443.430236816406,40.398193359375,754.532348632812,211.85205078125,95.3380355834961,703.551879882812,252.867034912109,59.2894020080566,955.701354980469,246.278533935547,42.0690422058105,806.342651367188,354.785186767578,1385.71484375
21,0.1,759.670043945312,478.982635498047,98.2273635864258,702.727661132812,443.359619140625,58.8812103271484,959.036865234375,443.43505859375,40.413990020752,754.518249511719,211.858947753906,95.3464813232422,703.53857421875,252.858139038086,59.2937164306641,955.708251953125,246.288024902344,42.0707740783691,806.303588867188,354.774627685547,1385.71984863281
22,0.105,759.665649414062,478.976531982422,98.228889465332,702.7158203125,443.351806640625,58.8874053955078,959.040771484375,443.434997558594,40.4228248596191,754.533813476562,211.86083984375,95.3499069213867,703.551330566406,252.868453979492,59.2895202636719,955.711181640625,246.292785644531,42.0679550170898,806.315368652344,354.728912353516,1385.69873046875
