Percent_Stance,Mean_vGRF_N,STD_vGRF_N
0.0,11.139148604318807,0.7740557755210318
1.0,61.41509519717832,41.325672229024136
2.0,167.83212429769512,127.60107734224297
3.0,264.9298971736189,182.44323655822174
4.0,302.2310377964602,152.67341276112037
5.0,282.03963004616776,63.96939120032634
6.0,254.31100967307535,84.15661450704322
7.0,269.4964948423495,120.30538352344486
8.0,301.5051746234509,125.38755055065793
9.0,325.64442276041007,121.02940415280686
10.0,341.4402886958949,109.86747774672877
11.0,350.79694866113095,94.83444160203122
12.0,356.72468959181583,79.23630909241723
13.0,362.8457270944253,65.47556284806882
14.0,372.8217507054513,53.8751985329621
15.0,389.5837440935493,43.387028209406765
16.0,413.0865551486678,35.99073387378427
17.0,441.78835597420255,33.60920599550517
18.0,475.1627206452593,33.82416335601017
19.0,511.8186943905131,35.471313613675605
20.0,550.2257343602005,38.120225727640914
21.0,589.4061156444278,40.94718039479574
22.0,628.8774706768786,43.70048875043832
23.0,668.3644580059961,46.44442652214369
24.0,707.6955749742102,49.17753291369818
25.0,746.7156017009546,51.88902174661591
26.0,785.2705461407497,54.56819216426751
27.0,823.2082518010312,57.20447086199237
28.0,860.3789982156648,59.78745381380607
29.0,896.636091804469,62.30694733103404
30.0,931.836444786998,64.75300829084041
31.0,965.8411398659977,67.11598337589545
32.0,998.5159784520841,69.38654717032865
33.0,1029.7320102661763,71.55573896162751
34.0,1059.366042229674,73.61499810324868
35.0,1087.3011246341382,75.55619779838943
36.0,1113.4270126718757,77.3716771715963
37.0,1137.6406015060813,79.05427150164607
38.0,1159.8463331635894,80.59734049638953
39.0,1179.9565736445188,81.99479449797674
40.0,1197.8919587605994,83.24111851504868
41.0,1213.5817073373894,84.33139398705636
42.0,1226.9639005443905,85.26131819481866
43.0,1237.9857262507262,86.02722124071816
44.0,1246.6036874420809,86.6260805315259
45.0,1252.7837738764244,87.05553270670096
46.0,1256.5015963011008,87.31388296509202
47.0,1257.7424827016375,87.40011175323552
48.0,1256.501536202433,87.31387878885535
49.0,1252.7836543908395,87.05552440368692
50.0,1246.603509988384,86.62606820032683
51.0,1237.9854929454077,86.02720502840825
52.0,1226.9636141876422,85.2612982959823
53.0,1213.5813713945734,84.33137064250046
54.0,1197.8915773392835,83.2410920102068
55.0,1179.9561514672007,81.99476516101363
56.0,1159.845875536259,80.5973086960167
57.0,1137.6401142828006,79.05423764466036
58.0,1113.4265022155719,77.3716417001555
59.0,1087.3005977738283,75.55616118703965
60.0,1059.3655062143628,73.61496085572087
61.0,1029.7314727156802,71.55570160742023
62.0,998.5154473050615,69.38651026109662
63.0,965.8406233254774,67.11594748166449
64.0,931.8359512637126,64.75297399606949
65.0,896.6356298583094,62.30691523054719
66.0,860.3785764955962,59.78742450861708
67.0,823.2078789838031,57.20444495504573
68.0,785.2702308687578,54.56817025612036
69.0,746.7153525196044,51.88900443108573
70.0,707.6954002691461,49.1775207735007
71.0,668.3643659405616,46.44442012454686
72.0,628.8774691301646,43.700488642957694
73.0,589.3905446444932,40.95655523822281
74.0,550.0594275091127,38.22344883505189
75.0,511.03933797612,35.51195563774861
76.0,472.48426895733485,32.83277656314401
77.0,434.54637830058755,30.196485010075428
78.0,397.3753883074227,27.613485132069727
79.0,361.1179948619365,25.093970777899397
80.0,325.9172885025572,22.64788526205193
81.0,291.91218972144486,20.284882123869778
82.0,259.2369007200374,18.014287030223862
83.0,228.0203757843352,15.845060972066443
84.0,198.38581237003987,13.785764900103949
85.0,170.45016490592857,11.844525939154057
86.0,144.32368323420476,10.029005314516617
87.0,120.10947750933488,8.346368116937358
88.0,97.90311127246981,6.803255025482929
89.0,77.79222430736421,5.405756099922737
90.0,59.85618676617711,4.1593867460445875
91.0,44.16578593014147,3.0690659487563345
92.0,30.782946841298873,2.139096858877159
93.0,19.76048790783614,1.373149810232688
94.0,11.1419124475395,0.7742478340780737
95.0,4.9612369920623145,0.3447547280180336
96.0,1.242857029632205,0.08636572651169723
97.0,0.0014507160783071647,0.00010080978348915295
98.0,1.2419209342268285,0.08630067754963895
99.0,4.959375930375081,0.34462540345304443
100.0,11.139148604318802,0.7740557755210291
