Step,Touchdown_s,ToeOff_s,NextTouchdown_s,ContactTime_s,AerialTime_s,dt1_s,dv1_mps,t_step_s,JT_Ns,J1_Ns,J2_Ns,F1avg_N,F2avg_N,A1_N
32,21.1,21.4,21.78,0.3,0.38,0.029999999999997584,0.53442591677621,0.6799999999999999,398.91384,7.929249571714551,390.98459042828546,132.1541595285865,1303.2819680942848,264.308319057173
33,21.78,22.1,22.455,0.32,0.355,0.029999999999997584,0.5733702945537988,0.675,395.98065,8.30186937829052,387.6787806217095,138.36448963818648,1211.4961894428423,276.72897927637297
34,22.455,22.76,23.14,0.305,0.38,0.030000000000001137,0.4937225125396155,0.685,401.8470300000001,7.539799399979148,394.30723060002094,125.66332333298104,1292.8105921312163,251.32664666596207
35,23.14,23.47,23.815,0.33,0.345,0.02499999999999858,0.5985536221827084,0.675,395.98065,8.073513057044021,387.907136942956,161.4702611408896,1175.4761725544122,322.9405222817792
36,23.815,24.155,24.5,0.34,0.345,0.029999999999997584,0.5465009207085425,0.685,401.8470300000001,8.044783209339109,393.80224679066094,134.0797201556626,1158.2419023254733,268.1594403113252
37,24.5,24.835,25.175,0.335,0.34,0.030000000000001137,0.5219821691371709,0.675,395.98065,7.810187794304557,388.17046220569546,130.1697965717377,1158.7177976289415,260.3395931434754
38,25.175,25.505,25.87,0.33,0.365,0.029999999999997584,0.49610320501921323,0.6950000000000001,407.71341000000007,7.562577865623606,400.15083213437646,126.04296442707025,1212.57827919508,252.0859288541405
39,25.87,26.19,26.545,0.32,0.355,0.02499999999999858,0.6170778192457579,0.675,395.98065,8.250752574543279,387.7298974254567,165.01505149087495,1211.6559294545523,330.0301029817499
40,26.545,26.87,27.23,0.325,0.36,0.02499999999999858,0.6148406253985202,0.685,401.8470300000001,8.229347103812907,393.61768289618715,164.5869420762675,1211.1313319882681,329.173884152535
41,27.23,27.54,27.91,0.31,0.37,0.02499999999999858,0.5686432037142155,0.6799999999999999,398.91384,7.78733017313748,391.1265098268625,155.74660346275846,1261.6984187963308,311.4932069255169
42,27.91,28.215,28.59,0.305,0.375,0.030000000000001137,0.547664419619015,0.6799999999999999,398.91384,8.055915566914843,390.85792443308515,134.26525944857562,1281.5013915838858,268.53051889715124
43,28.59,28.92,29.28,0.33,0.36,0.02499999999999858,0.5589781341581751,0.69,404.78022,7.694854787625286,397.0853652123747,153.89709575251447,1203.2889854920445,307.79419150502895
44,29.28,29.63,29.965,0.35,0.335,0.02499999999999858,0.6499037061004409,0.685,401.8470300000001,8.564830659968885,393.2821993400312,171.29661319938745,1123.6634266858034,342.5932263987749
