Step,Touchdown_s,ToeOff_s,NextTouchdown_s,ContactTime_s,AerialTime_s,dt1_s,dv1_mps,t_step_s,JT_Ns,J1_Ns,J2_Ns,F1avg_N,F2avg_N,A1_N
30,20.12,20.42,20.795,0.3,0.375,0.00999999999999801,0.349969476233232,0.675,395.98065,4.287128748599377,391.6935212514006,214.3564374300115,1305.645070838002,428.712874860023
31,20.795,21.105,21.47,0.31,0.365,0.00999999999999801,0.4622277942117406,0.675,395.98065,5.3612163350177475,390.6194336649823,268.0608167509407,1260.0626892418784,536.1216335018814
32,21.47,21.77,22.12,0.3,0.35,0.010000000000001563,0.31396480813059013,0.6499999999999999,381.31469999999996,3.9426360841936328,377.37206391580634,197.13180420965082,1257.9068797193545,394.26360841930165
33,22.12,22.42,22.835,0.3,0.415,0.029999999999997584,0.48900306888507855,0.715,419.44617,7.494643763092205,411.9515262369078,124.91072938488014,1373.171754123026,249.82145876976028
34,22.835,23.1,23.505,0.265,0.405,0.00999999999999801,0.5011752670423308,0.67,393.04746000000006,5.733865755060835,387.3135942449392,286.6932877530988,1461.5607329997706,573.3865755061976
35,23.505,23.785,24.155,0.28,0.37,0.010000000000001563,0.3734264738253515,0.65,381.3147,4.5115653015611095,376.8031346984389,225.57826507802022,1345.725481065853,451.15653015604045
36,24.155,24.485,24.87,0.33,0.385,0.029999999999997584,0.4456861974202697,0.7150000000000001,419.44617000000005,7.080187936916914,412.36598206308315,118.00313228195807,1249.5938850396458,236.00626456391615
37,24.87,25.165,25.555,0.295,0.39,0.00999999999999801,0.23761562508399225,0.685,401.8470300000001,3.212127100803451,398.6349028991966,160.6063550402045,1351.304755590497,321.212710080409
38,25.555,25.815,26.23,0.26,0.415,0.010000000000001563,0.31571563658124857,0.675,395.98065,3.959388010809533,392.0212619891905,197.9694005404457,1507.7740845738097,395.9388010808914
39,26.23,26.53,26.92,0.3,0.39,0.00999999999999801,0.34390999254788335,0.69,404.78022,4.22915160869796,400.551068391302,211.4575804349401,1335.1702279710069,422.9151608698802
40,26.92,27.215,27.6,0.295,0.385,0.00999999999999801,0.38783628824152067,0.6799999999999999,398.91384,4.649438405894683,394.2644015941053,232.4719202947804,1336.4894969291706,464.9438405895608
41,27.6,27.895,28.29,0.295,0.395,0.00999999999999801,0.2925454788647905,0.69,404.78022,3.7376959417781284,401.04252405822183,186.8847970889436,1359.4661832482097,373.7695941778872
42,28.29,28.59,28.965,0.3,0.375,0.010000000000001563,0.33370728767022767,0.675,395.98065,4.131532128428885,391.84911787157114,206.57660642141198,1306.1637262385705,413.15321284282396
43,28.965,29.265,29.645,0.3,0.38,0.010000000000001563,0.4350684511986405,0.6799999999999999,398.91384,5.10135574106874,393.81248425893125,255.0677870533971,1312.7082808631042,510.1355741067942
